State,Party,Outcome
AL,R,Red
AK,R,Red
AZ,R,Red
AR,R,Red
CA,D,Blue
CO,D,Blue
CT,D,Blue
DE,D,Blue
DC,D,Blue
FL,D,Purple
GA,R,Red
HI,D,Blue
ID,R,Red
IL,D,Blue
IN,R,Red
IA,D,Purple
KS,R,Red
KY,R,Red
LA,R,Red
ME,D,Purple
MD,D,Blue
MA,D,Blue
MI,D,Purple
MN,D,Blue
MS,R,Red
MO,R,Red
MT,R,Red
NE,R,Red
NV,D,Blue
NH,D,Blue
NJ,D,Blue
NM,D,Blue
NY,D,Blue
NC,R,Red
ND,R,Red
OH,D,Purple
OK,R,Red
OR,D,Blue
PA,D,Purple
RI,D,Blue
SC,R,Red
SD,R,Red
TN,R,Red
TX,R,Red
UT,R,Red
VT,D,Blue
VA,D,Blue
WA,D,Blue
WV,R,Red
WI,D,Purple
WY,R,Red
