,,donation_count,total_raised
,,sum,sum
candidate_id,in_state,,
H2MA04073,False,2298,842077.58
H2MA04073,True,2773,907995.49
S0AL00156,False,30509,3751847.8499999996
S0AL00156,True,6465,1974748.72
S0CA00199,False,869,712400.58
S0CA00199,True,7083,4228502.61
S0NY00402,False,3,750.0
S0NY00402,True,1,500.0
S0NY00410,False,8780,3713895.8699999996
S0WV00090,False,1622,1784206.3199999998
S2CT00132,False,4191,930767.03
S2CT00132,True,25157,3848463.32
S2HI00106,False,1068,572112.69
S2HI00106,True,1825,661193.27
S2IN00091,False,4526,2610350.67
S2IN00091,True,15489,2944149.73
S2MA00170,False,50672,4607094.050000001
S2ND00099,False,22055,6084551.739999999
S2NM00088,False,2244,1462022.0
S2VA00142,False,4344,3807875.27
S2WI00219,False,34352,6139673.489999998
S6IL00292,False,1983,203982.29
S6IL00292,True,2546,310657.82
S6MD03177,False,588,653807.6699999999
S6MD03177,True,1401,1128677.15
S6MO00305,False,45487,11046990.65
S6MT00162,False,12931,5815107.359999999
S6NJ00289,False,1792,2186599.98
S6NV00234,False,7,650.0
S6OH00163,False,15933,3226153.8799999994
S6PA00217,False,5474,2589793.59
S6RI00221,False,9711,1523697.83
S8AL00357,False,11,5800.0
S8AL00357,True,2,500.0
S8AL00365,False,31,11512.54
S8AL00365,True,4,1100.0
S8AL00373,False,2,1000.0
S8AL00373,True,21,6326.3
S8AL00407,False,6,4494.72
S8AL00407,True,3,652.0
S8AZ00122,False,30,16350.85
S8AZ00122,True,114,21611.44
S8AZ00148,False,1,1000.0
S8AZ00148,True,29,6978.56
S8AZ00155,False,3,1250.0
S8AZ00155,True,1,250.0
S8AZ00171,True,4,1350.0
S8AZ00197,False,10650,4698815.22
S8AZ00197,True,15402,3755998.7
S8CA00317,False,43,5333.7
S8CA00317,True,60,3323.47
S8CA00358,False,17,11279.0
S8CA00358,True,81,95134.0
S8CA00408,False,290,150815.75
S8CA00408,True,2461,1896777.5
S8CA00416,False,188,33625.9
S8CA00416,True,446,68384.11
S8DE00079,False,380,348199.91000000003
S8DE00079,True,1049,363752.86
S8DE00137,False,102,37516.69
S8DE00137,True,193,53224.85
S8FL00166,False,12438,3931976.78
S8FL00166,True,63274,9860475.53
S8FL00240,False,33,1179.0
S8FL00240,True,40,1203.0
S8MD00252,False,8,5200.0
S8MD00252,True,2,500.0
S8MD00260,False,110,80601.0
S8MD00286,False,30,1018.72
S8MD00286,True,3,111.0
S8ME00155,False,94,62830.18
S8ME00155,True,41,22000.88
S8MI00281,False,4324,2301835.8600000003
S8MN00578,False,3311,1423265.22
S8MO00186,False,2,207.0
S8MS00220,False,44,905.8299999999999
S8MS00220,True,29,796.76
S8MS00246,False,252,357350.0
S8MS00246,True,21,31400.0
S8MS00253,False,173,98953.92
S8MS00253,True,1193,491585.32
S8MS00287,False,3424,1327590.96
S8MS00295,False,2,1000.0
S8MS00295,True,5,1259.0
S8MS00303,False,2,3700.0
S8MS00303,True,38,51870.0
S8MS00311,True,1,20000.0
S8NE00182,False,728,252648.46
S8NJ00475,False,38,30050.0
S8NJ00475,True,2,1500.0
S8NV00131,False,9,3160.0
S8NV00131,True,23,6130.0
S8NV00149,False,56,28121.0
S8NV00149,True,44,56233.0
S8NV00156,False,36703,7783481.979999999
S8TN00311,False,189,120040.0
S8TN00386,False,3190,2012178.78
S8TX00285,False,43126,8989753.970000003
S8UT00135,False,2,1000.0
S8UT00135,True,5,710.0
S8UT00143,False,212,133201.0
S8UT00143,True,2557,806854.96
S8UT00150,True,3,125.0
S8WA00194,False,3335,1769906.65
S8WA00228,False,10,673.36
S8WA00228,True,3,975.0
S8WV00119,False,203,15770.69
S8WY00189,False,415,357142.4
